sku,title,description,vendor,type,tags,price,images
ray-jean,Club Ride Ray Jean,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p class=""p1"">""You rode here in jeans?!"" Your envious friends gasp, ""Aren't they heavy?"" Not these. The Ray Jean was designed specifically for riders who like the comfort of bike-wear without all the spandex and sideways glances it causes once you're away from your ride. The Ray Jean is made with StretchRide2 (the better-than-the-original sequel to StretchRide) and is 30% lighter than standard denim. It breathes well in warm weather, keeps your legs covered in the cold, and has reflective accents to keep you safe. The Ray Jean is sure to make you feel great while making your cycling friends jealous.</p>",Club Ride Appparel,Apparel,"Accessories, Apparel, Pants",129.99,https://cdn.shopify.com/s/files/1/0923/8062/products/jayjean1.jpeg?v=1438626070
roxbury-jersey,Club Ride Roxbury Jersey,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p class=""p1"">Once you spend a day in the Roxbury, you'll probably want to spend the night too.  Made with cutting edge RideDryWear, it'll keep you dry on the hottest rides and in the coolest clubs.  The Roxbury also has reflective accents to keep you safe on the road and help you get the attention you deserve off of it.  Couple all that with the Roxbury's rear-pocket media port and you've got a stylish shirt that'll let you keep your tunes bumpin' and your head bobbin' all night long!</p>",Club Ride Appparel,Apparel,"Accessories, Apparel, Shirt, Shirts",89.99,https://cdn.shopify.com/s/files/1/0923/8062/products/roxbury-charcoal.jpeg?v=1438626068
defender-bike-light,Defender Bike Light,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>The World's First Theft-Resistant Bike Light. Made of lightweight aluminum with using ultra-bright LEDs and 100 hours battery life.  Comes with custom Gotham security screw drivers, and 3 x AA batteries, and adjustable spacers to fit your handlebars.  Matte Black Finish.</p>
<p><strong>SPECIFICATIONS </strong></p>
<ul>
<li>Weight (G): 232 </li>
<li>Dimensions (MM): 10 x 42 x 80 </li>
<li>Bar Sizes (MM): 22 to 32 </li>
<li>Batteries: 3 AA </li>
<li>Battery Life (HR):50 steady, 100 flashing </li>
<li>Beam: 30Á spread, 80Á periphery hotspot </li>
<li>Brightness: 50 Lumen </li>
<li>Power: 1 Watt</li>
</ul>",Fortified,Light,"Accessories, Alloy, Black, Essential, Essentials, Light, Lights, Pure Fix Cycles, Safety, Safety Gear",39,https://cdn.shopify.com/s/files/1/0923/8062/products/WEB_2048-Light_0002_Defender_Front_Angle_Black.jpeg?v=1438626062
diago-roadrace-pump,Diago Roadrace Pump,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>Upon using the SKS Diago Mini Pump for the first time, your hands may get sweaty and your knees may get weak. Don't worry, this sleek, high-pressure pump has that effect on most cyclists. As aero as they come, this ultralight mini pump matches your already classy setup. A telescoping internal structure enables quick, high-pressure strokes to get you back on the road without a hassle. </p>
<p>The perfect pump to match your fixie!</p>
<div></div>",SKS,Pumps,"Accessories, Black, Essential, Essentials, Presta Valve, Pump, Pumps, Safety Gear, Tool, Tools and Maintenance, Wheelsets and Accessories, White",20,https://cdn.shopify.com/s/files/1/0923/8062/products/diago-fixie-pump_1.jpeg?v=1438626055
fgfs-bmx-stem,Freestyle Stem,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>Our new 1 1/8"" Freestyle stems are built to handle anything thrown their way. Made of forged alloy with a 55mm extension, they will fit any bar with a 22mm clamp diameter, making them a perfect match for our <a href=""http://purefixcycles.com/products/bmx-bars"">Pure Fix Freestyle Riser Bars</a>!</p>",Pure Fix Cycles,Stem,"Alloy, Bars and Stems, Bars and Tape, Bars Tape Grips and Stems, Black, Blue, FGFS, FGFS Accessories, FGFS Series, Gold, Green, Parts, Red, Stems, White",7,https://cdn.shopify.com/s/files/1/0923/8062/products/all_1202.jpeg?v=1438626052
fgfs-brake-kit,FGFS Brake Kit,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p><span style=""line-height: 1.2;"">Our FGFS Radius brakes come as a full, dual-pivot, forged alloy set, which includes a brake, caliper, lever, cable, housing, and brake pads. Because our FGFS bikes are bred for tricks, they are drilled for front brakes only.</span></p>",Pure Fix Cycles,Brake,"Black, Brake Parts, Brakes, FGFS, FGFS Accessories, FGFS Series, Parts, Safety Gear",22,https://cdn.shopify.com/s/files/1/0923/8062/products/brake_and_handle_web_1.jpeg?v=1438626048
fgfs-crankset,FGFS Crankset,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p class=""p1"">Full chromoly construction makes this one light, tough crank.  3 piece, 33 tooth, this bad boy is ready for any FGFS build.  <span class=""s1"">Crankset comes with gear ring and right and left pedal arms. </span></p>",Pure Fix Cycles,Cranks,"Black, Crank, Cranks, Drivetrain, FGFS, FGFS Accessories, FGFS Series, Parts",49,https://cdn.shopify.com/s/files/1/0923/8062/products/fgfg-crank_1.jpeg?v=1438626046
finish-line-1-step-cleaner-lubricant,Finish Line 1-Step Cleaner & Lubricant,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>Finish Line's new 1-Step is engineered for commuters and recreational cyclists who seek a quick one-step clean and lube formulation. As 1-Step loosens and removes surface grime, it delivers a clean low friction film of lubricant. 1-Step Cleaner &amp; Lubricant prevents premature component wear while reducing pedaling friction and drive-train noise.</p>",Finish Line,Tools,"Accessories, Essential, Essentials, Lube, Maintenance, Safety Gear, Tool, Tools, Tools and Maintenance",6.99,https://cdn.shopify.com/s/files/1/0923/8062/products/lube_1.jpeg?v=1438626045
fixed-gear-freestyle-frame-set,Fixed Gear Freestyle Frame Set,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>With all the strength and style of our Fixed Gear Freestyle bike, the Pure Fix FGFS frame is the perfect launching point for your Fixed Gear Freestyle build.<br> <br> Along with killer looks, all our FGFS frames include the following features:</p>
<ul>
<li>40cm, strong, Full Heat Treated, 100% 4130 Cromoly (CR-MO) Steel Frame</li>
<li>Additional welding on the front fork, giving the bike extra support</li>
<li>Includes frame and fork</li>
</ul>",Pure Fix Cycles,Framesets,"Accessories, Black, CrMo Framesets, FGFS, FGFS Accessories, FGFS Frame, FGFS Framesets, FGFS Series, Frames & Forks, Framesets, Grey, Parts",99,https://cdn.shopify.com/s/files/1/0923/8062/products/frame_trick_black_web_1.jpeg?v=1438626044
pure-fix-crankset,Fixie Crankset 44T,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>Our 3-piece fixed gear crank has <strong>44 teeth </strong>and comes with a gear ring and right and left pedal arms. </p>
<p>The 44 tooth crank will make it easier to accelerate but won't let you reach the maximum top speed that the <a href=""http://purefixcycles.com/products/fixie-crankset-48t"" title=""48T Crank"">48T crank</a> will!</p>
<p>List of Specs:</p>
<ul>
<li>Bolt-Crank Diameter: 130mm</li>
<li>Crank arm length: 165mm</li>
<li>Chains: 1/8""</li>
<li>Square Taper</li>
</ul>",Pure Fix Cycles,Cranks,"Alloy, Black, Cranks, Drivetrain, Gold, Green, Magenta, Orange, Parts, Red, White, Yellow",54,https://cdn.shopify.com/s/files/1/0923/8062/products/PFCrankset_Black_Top_WEB.jpeg?v=1438626037
fixie-crankset-48t,Fixie Crankset 48T,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>Our 3-piece fixie crank comes has <strong>48 teeth </strong>and comes with a gear ring and right and left pedal arms.</p>
<p>The 48 tooth crank will make it slightly harder to accelerate but will allow you reach a higher maximum speed than the <a href=""/products/pure-fix-crankset"" title=""44T Crank"">44T crank</a>!</p>
<p>List of Specs:</p>
<ul>
<li>Bolt-Crank Diameter: 130mm</li>
<li>Crank arm length: 165mm</li>
<li>Chains: 1/8""</li>
<li>Square Taper</li>
</ul>
<p class=""tertiary"">You'll need a longer chain if you're replacing your 44T crank on a standard Pure Fix bike</p>",Pure Fix Cycles,Cranks,"Alloy, Black, Cranks, Drivetrain, Gold, Parts, White",54,https://cdn.shopify.com/s/files/1/0923/8062/products/Fixie-Crank_3.jpeg?v=1438626027
fixie-stem,Fixie Stem,<p>The 4 screw Pure Fix stem has been designed to fit your Pure Fix perfectly and will fit most other builds.  This stem is 80mm with a 7 degree grade.</p>,Pure Fix Cycles,Stem,"Bars and Stems, Bars and Tape, Bars Tape Grips and Stems, Black, Gold, Neco, Parts, Silver, Stem, Stems, White",20,https://cdn.shopify.com/s/files/1/0923/8062/products/Stem_Black_3RD_WEB.jpeg?v=1438626024
fixie-table,Fixie Table,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>This Unique Table features three Custom <a href=""http://purefixcycles.com/collections/wheel-sets"">Pure Fix Wheels</a> connected by a steel frame and three Pure Fix Urban Forks.</p>
<p>Each table is made custom to order so you can choose everything from rim color, to how we paint the frame and forks!  The Fixie Table also carries a gorgeous 42 inch glass table top.  </p>
<p><br></p>
<p><i>Note: The fixie table ships in 3-4 weeks and is easily assembled.  We will contact you after you order to confirm frame and wheel color.</i></p>",Pure Fix Cycles,Furniture,"50mm, 60mm, Accessories, Bicycles, Bike, College Fixie, Fixed Gear, Fixie, Pure Fix Cycles, Urban Fixie, Wheelsets",499,https://cdn.shopify.com/s/files/1/0923/8062/products/fixie_table4.jpeg?v=1438626020
flak-helmet,Flak Helmet,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>The Giro Flak features a durable ABS shell, plush padding, and clean graphics to round out your look. Available in three sizes of sleek matte black.</p>
<p>See Giro's Fit Guides: <a href=""http://cdn.shopify.com/s/files/1/0081/1222/files/giro_sizing_chart.pdf?10852"" target=""_blank"">Sizing Chart</a> | <a href=""http://cdn.shopify.com/s/files/1/0081/1222/files/giro_measuring_tape.pdf?10852"" target=""_blank"">Measuring Guid</a><a href=""http://cdn.shopify.com/s/files/1/0081/1222/files/giro_measuring_tape.pdf?10852"" target=""_blank"">e</a>.</p>
<div>
<div>
<div>
<p> </p>
</div>
</div>
</div>",Giro,Helmet,"Accessories, Black, Essential, Essentials, Helmet, Helmets, Safety, Safety Gear",40,https://cdn.shopify.com/s/files/1/0923/8062/products/giro-flak_1.png?v=1438626018
flat-bicycle-shelf,Flat Bicycle Shelf,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p class=""p1"">Made of stained birch, this bike shelf is both rugged and handsome, turning any bike into a piece of art.  Plus, its top shelf provides plenty of extra space to hold your garden of succulents, T.S. Eliot poetry collection, and vintage bottles of scotch.</p>",Pure Fix Cycles,Bicycle Rack,"Accessories, Rack, Shelf, Wood",99,https://cdn.shopify.com/s/files/1/0923/8062/products/flat_shelf_1.jpeg?v=1438626017
folding-hex-wrench-set-3-10mm,Folding Hex Wrench Set 3-10mm,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>The Park Tool Fold Up Hex Wrench Set combines all the popular hex wrench sizes into one convenient fold-up tool, eliminating the need for a mess of loose tools. Its multi-position composite handle is comfortable, lightweight, slip-resistant, and 40% stronger than steel handles.</p>
<ul>
<li>Includes 3mm, 4mm, 5mm, 6mm, 8mm, and 10mm hex wrenches</li>
<li>Made from Bondhus Protanium» high torque industrial steel for long life</li>
<li>Chamfered tips for a perfect fit</li>
</ul>",Park Tool,Tools,"4mm, 5mm, 6mm, Accessories, Hex Wrench, Safety Gear, Tool, Tools, Tools and Maintenance, Wrench",12.99,https://cdn.shopify.com/s/files/1/0923/8062/products/park-tool-aws-12.jpeg?v=1438626016
fyxation-curve-saddle,Fyxation Curve Saddle,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>The Fyxation Curve saddle offers the perfect blend of style, design and comfort.  Designed to be an attractive and affordable bicycle saddle, the Curve is the ideal fixed gear part for finishing off that build or for simply crusing around town. Available in black, white, green, orange, red and blue there's a Curve for everyone.</p>
<ul>
<li>Classic track saddle styling</li>
<li>Chrome plated rails</li>
<li>Padded for comfort</li>
<li>Weight:  369g</li>
</ul>
<p> </p>",Fyxation,Saddle,"Fyxation, Green, Parts, Saddle, Saddles, Saddles and Seatposts",15,https://cdn.shopify.com/s/files/1/0923/8062/products/curve-saddle-green_1.jpeg?v=1438626015
high-pressure-rim-tape,High Pressure Rim Tape,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>The more you ride, the more your wheels wear, and the more this wear comes into contact with the tube, leading to ruptures.  Our rim tape was developed to give extra protection from flats, creating a solid barrier between the tube and wheel, keeping your tires free from flats and your bike on the road instead of on your back.  A definite must have for any urban rider.</p>",Pure Fix Cycles,Rim Tape,"FGFS, FGFS Accessories, FGFS Series, Parts, Rim Tape, Tires and Tubes, Tools and Maintenance, Wheelsets and Accessories",0.99,https://cdn.shopify.com/s/files/1/0923/8062/products/rim_tape_2.jpeg?v=1438626014
kenda-tire-28c,Kenda Colored Tire 28C,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>A classic tire redesigned with fixie riding in mind - modern-day performance with reinforced sidewalls.</p>
<p>Kenda 28x700c colored tire.</p>
<p><b>Comes as a single tire.</b></p>
<p>Colors Available: Red, Purple, Blue, Yellow, Green, White, and Orange.</p>",Kenda,Tires,"700C, Black, Blue, Green, Kenda, Orange, Parts, Purple, Red, Tire, Tires, Tires and Tubes, Tools and Maintenance, Wheelsets and Accessories, White, Yellow",22,https://cdn.shopify.com/s/files/1/0923/8062/products/Tire_Yellow_3RD_WEB.jpeg?v=1438626010
kenda-kwest-tire-set,Kenda Kwest Tire 700C: 23C - 32C,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>A classic tire redesigned with fixie riding in mind - modern-day performance with reinforced sidewalls.</p>
<p>Kenda 28x700c tire.</p>
<p><strong>Comes as a single tire.</strong></p>
<p>Sizes Available: 23C, 25C, 28C, 32C, or 35C.</p>",Kenda,Tires,"700C, Black, Kenda, Parts, Tire, Tires, Tires and Tubes, Tools and Maintenance, Wheelsets and Accessories",22,https://cdn.shopify.com/s/files/1/0923/8062/products/kekks1-1.jpeg?v=1438626003
continental-tube,Conti Race Tube,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><h3>Conti Race Tubes</h3>
<p>When it’s race time, every gram counts, but nothing will take you from first to last faster than a flat. Luckily, the mad scientists in Conti’s R&amp;D labs have your back. These race tubes are engineered to strike the perfect balance of weight and durability, and they’re a favorite for crits, alley-cats, or any event where speed matters on an imperfect surface. And, thanks to Continental’s stringent “100% quality control” inspection, you can ride confidently knowing the tube in your tire is the best they’ve ever made.</p>",Continental,Tube,"City Accessories, Essential, Essentials, FGFS, FGFS Accessories, FGFS Series, Micro, Micro Series, Parts, Presta Valve, Tires and Tubes, Tools and Maintenance, Tube, Tubes, Wheelsets and Accessories",11,https://cdn.shopify.com/s/files/1/0923/8062/products/Conti-race-tube-WEB.jpeg?v=1438626002
kmc-z410h-chain,KMC Z410H Chain,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>These heavy-duty chains come in a variety of colors and are perfect for all of our fixies and single speed bikes.  </p>
<p>List of Specs:</p>
<ul>
<li>94 links*</li>
<li>Nickel Plated</li>
<li>Heavy Duty</li>
<li>1/8 chain</li>
<li>Width: 9.4mm</li>
<li>460 grams</li>
</ul>
<style type=""text/css""><!--
p.p1 {margin: 0.0px 0.0px 0.0px 0.0px; font: 12.0px Helvetica}
--></style>
<p class=""p1"">* This is the perfect length for our standard fixies featuring our 44:16 gear ratio.<span class=""Apple-converted-space"">  </span>However, if you have a different bike and/or different ratio, you may need to purchase two chains to reach your desired chain length.</p>
<br>
<p> </p>",KMC,Chain,"Alloy, Black, Blue, Chain, Chains, Drivetrain, Gold, Green, Parts, Pink, White, Yellow",10,https://cdn.shopify.com/s/files/1/0923/8062/products/chain_1.jpeg?v=1438625994
kryptonite-keeper-12-u-lock,Kryptonite 12 U-Lock,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>This <a href=""http://purefixcycles.com/collections/vendors?q=Kryptonite"">Kryptonite</a> U-Lock has a high security Bent Foot™ design and comes with two disc-style keys and a click-style transportation bracket.  The lock is encased in a protective vinyl covering and has a reinforced collar over keyway for increased protection!  The 12mm hardened steel shackle resists hand tools.  Grab one now and keep your bike protected from those bike thieves out there!</p>",Kryptonite,Lock,"Accessories, Essential, Essentials, Lock, Locks, Safety, Safety Gear, Tools and Maintenance",20,https://cdn.shopify.com/s/files/1/0923/8062/products/kryptonite_1.jpeg?v=1438625986
kryptonite-keeper-chain-lock,Kryptonite Keeper,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>This <a href=""http://purefixcycles.com/collections/vendors?q=Kryptonite"">Kryptonite</a> chain lock is both stylish and functional. It packs 7mm 4-sided 3t manganese steel chain links.  </p>
<p>The lock is flexible, compact, easy to use, and comes with a <b>lifetime warranty</b>! </p>",Kryptonite,Lock,"Accessories, Essential, Essentials, Lock, Locks, Safety, Safety Gear",25,https://cdn.shopify.com/s/files/1/0923/8062/products/kryptonite_chain_lock_1.jpeg?v=1438625985
kryptonite-keeper-padlock,Kryptonite Keeper Padlock,"<p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>This <a href=""http://purefixcycles.com/collections/vendors?q=Kryptonite"">Kryptonite</a> chain lock is both stylish and functional. It packs 7mm 4-sided 3t manganese steel chain links.  </p>
<p>The lock is flexible, compact, easy to use, and comes with a <b>lifetime warranty</b>! </p>
<p>Comes with the chain and the lock - you can't lose!</p>",Kryptonite,Lock,"Essential, Essentials, Lock, Locks, Safety",25,https://cdn.shopify.com/s/files/1/0923/8062/products/keeper-lock_1.png?v=1438625984
